序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額
1,南韓,PHANTOM: THE MUSICAL FILM,2022/2/18,威秀影城股份有限公司,WYS en Scene Co. Ltd.,6,-3.86%,"2,491","1,947,910"
2,日本,電影版 昨日的美食,2022/2/18,車庫娛樂股份有限公司,AVEX PICTURES INC.,51,-10.80%,"6,864","1,697,823"
3,越南,鬼電梯,2022/2/18,車庫娛樂股份有限公司,RELAY MOTION KFT.,48,-12.11%,"7,230","1,618,991"
4,法國,黑盒線索,2022/2/18,采昌國際多媒體股份有限公司,StudioCanal SAS,36,19.73%,"3,920","914,277"
5,美國,逍遙上路,2022/2/18,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,FREEWAY ENTERTAINMENT KFT.,56,3.97%,"2,982","677,116"
6,中華民國,愛別離苦,2022/2/18,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,20,-23.32%,"4,461","983,042"
7,美國,完美的敵人,2022/2/18,峻龍國際有限公司,"Fandom Holdings,LLC.",19,41.59%,"1,307","314,967"
8,芬蘭,反恐行動：獨立日,2022/2/18,原創娛樂股份有限公司,REinvent Studios International Sales,23,-23.37%,"1,678","381,261"
9,日本,垃圾頭,2022/2/18,捷傑有限公司,GAGA Corporation,12,-7.06%,984,"232,234"
10,法國,執愛不悔,2022/2/18,佳映娛樂國際股份有限公司,FRANCE TELEVISIONS DISTRIBUTION,3,28.57%,160,"35,794"
11,美國,秘境探險,2022/2/17,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,97,-13.40%,"202,872","51,032,859"
12,美國,尼羅河謀殺案,2022/2/11,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",95,-50.34%,"119,362","30,128,070"
13,美國,娶我吧!,2022/2/11,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,-73.53%,"11,404","2,765,179"
14,美國,王牌冤家,2022/2/11,海鵬影業有限公司,United International Pictures,18,-60.51%,"7,177","1,759,740"
15,日本,讓我聽見愛的歌聲,2022/2/11,木棉花國際股份有限公司,BANDAI NAMCO Arts Inc.,31,-53.06%,"6,204","1,545,264"
16,美國,黑特冤家,2022/2/11,威視股份有限公司,Freeway Entertainment Kft.,45,-88.73%,"3,686","881,302"
17,美國,地球重生,2022/2/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,27,-79.69%,"2,331","525,845"
18,法國,艾菲爾情緣,2022/2/11,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,-93.02%,"1,763","398,670"
19,法國,幸福知音,2022/2/11,天馬行空數位有限公司,FREANCE TELEVISIONS DISTRIBUTION,7,-78.00%,317,"61,998"
20,德國,型男斷捨離,2022/2/11,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,10,-92.23%,220,"51,775"
21,美國,BJ單身日記,2022/2/11,薩摩亞商雄讚股份有限公司台灣分公司,STUDIOCANAL S.A.S.,10,-98.02%,394,"91,449"
22,英國,馬克白,2022/2/10,威秀影城股份有限公司,Trafalgar Releasing Limited,2,160.00%,18,"12,400"
23,日本,詛咒,2022/2/4,車庫娛樂股份有限公司,RELAY MOTION KFT.,24,-78.68%,"3,807","917,639"
