序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,週票數變動率,累計銷售票數,累計銷售金額(萬),count
1,南韓,PHANTOM: THE MUSICAL FILM,2022/2/18,威秀影城股份有限公司,WYS en Scene Co. Ltd.,6,-3.86%,2491,194.791,1
2,日本,電影版 昨日的美食,2022/2/18,車庫娛樂股份有限公司,AVEX PICTURES INC.,51,-10.80%,6864,169.7823,1
3,越南,鬼電梯,2022/2/18,車庫娛樂股份有限公司,RELAY MOTION KFT.,48,-12.11%,7230,161.8991,1
4,法國,黑盒線索,2022/2/18,采昌國際多媒體股份有限公司,STUDIOCANAL S.A.S.,36,19.73%,3920,91.4277,1
5,美國,逍遙上路,2022/2/18,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,FREEWAY ENTERTAINMENT KFT.,56,3.97%,2982,67.7116,1
6,中華民國,愛別離苦,2022/2/18,後場音像紀錄工作室有限公司,後場音像紀錄工作室有限公司,20,-23.32%,4461,98.3042,1
7,美國,完美的敵人,2022/2/18,峻龍國際有限公司,"Fandom Holdings,LLC.",19,41.59%,1307,31.4967,1
8,芬蘭,反恐行動：獨立日,2022/2/18,原創娛樂股份有限公司,REinvent Studios International Sales,23,-23.37%,1678,38.1261,1
9,日本,垃圾頭,2022/2/18,捷傑有限公司,GAGA Corporation,12,-7.06%,984,23.2234,1
10,法國,執愛不悔,2022/2/18,佳映娛樂國際股份有限公司,FRANCE TELEVISIONS DISTRIBUTION,3,28.57%,160,3.5794,1
11,美國,秘境探險,2022/2/17,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,97,-13.40%,202872,5103.2859,1
12,美國,尼羅河謀殺案,2022/2/11,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",95,-50.34%,119362,3012.807,1
13,美國,娶我吧!,2022/2/11,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,90,-73.53%,11404,276.5179,1
14,美國,王牌冤家,2022/2/11,海鵬影業有限公司,United International Pictures,18,-60.51%,7177,175.974,1
15,日本,讓我聽見愛的歌聲,2022/2/11,木棉花國際股份有限公司,BANDAI NAMCO Arts Inc.,31,-53.06%,6204,154.5264,1
16,美國,黑特冤家,2022/2/11,威視股份有限公司,Freeway Entertainment Kft.,45,-88.73%,3686,88.1302,1
17,美國,地球重生,2022/2/11,采昌國際多媒體股份有限公司,FREEWAY ENTERTAINMENT KFT.,27,-79.69%,2331,52.5845,1
18,法國,艾菲爾情緣,2022/2/11,車庫娛樂股份有限公司,RELAY MOTION KFT.,50,-93.02%,1763,39.867,1
19,法國,幸福知音,2022/2/11,天馬行空數位有限公司,FRANCE TELEVISIONS DISTRIBUTION,7,-78.00%,317,6.1998,1
20,德國,型男斷捨離,2022/2/11,車庫娛樂股份有限公司,PICTURE TREE INTERNATIONAL GMBH,10,-92.23%,220,5.1775,1
